no,MOLENAME,Plate location,cas,"Weight, mg",Bioactivity,Formula,MolWt,Status,Reference
736,Mefenamic acid,10-B7,61-68-7,"125µl,10mMol/L",Mefenamic acid is a Nonsteroidal Anti-inflammatory Drug. The mechanism of action of mefenamic acid is as a Cyclooxygenase Inhibitor. The chemical classification of mefenamic acid is Nonsteroidal Anti-inflammatory Compounds.,C15H15NO2,241.29,"USP, INN, BAN, JAN","1. Bhat AS, et al. Eur J Pharmacol. 2007 Feb 5; 556(1-3):190-9."
737,Sulphadione,10-B8,80-08-0,"125µl,10mMol/L",A sulfone active against a wide range of bacteria but mainly employed for its actions against MYCOBACTERIUM LEPRAE. Its mechanism of action is probably similar to that of the SULFONAMIDES which involves inhibition of folic acid synthesis in susceptible organisms. It is also used with PYRIMETHAMINE in the treatment of malaria.,C12H12N2O2S,248.3,"USP, INN, BAN","1. Gengenbacher M, et al. FEMS Microbiol Lett. 2008 Oct;287(1):128-35. "
738,Diprophylline,10-B9,479-18-5,"125µl,10mMol/L",Dyphylline is a xanthine derivative with bronchodilator and vasodilator effects.,C10H14N4O4,254.25,"USP, INN, BAN, JAN","1. Schwabe U, et al. Naunyn Schmiedebergs Arch Pharmacol. 1985 Sep;330(3):212-21."
739,Tinidazole,10-B10,19387-91-8,"125µl,10mMol/L","A nitroimidazole antitrichomonal agent effective against Trichomonas vaginalis, Entamoeba histolytica, and Giardia lamblia infections. ",C8H13N3O4S,247.27,"USP, INN, BAN, JAN","1. Fung HB, Doan TL. Clin Ther. 2005 Dec; 27(12):1859-84. "
740,Thiamine hydrochloride,10-B11,24539,"125µl,10mMol/L","Thiamine or vitamin B1 is a water-soluble vitamin of the B complex, its phosphate derivatives are involved in many cellular processes. Thiamine deficiency results in amyloid precursor protein immunoreactivity accumulated in swollen neurites within, or around lesions in rats, or in abnormal clusters in mice.",C12H18CLRN4OS,337.27,"USP, INN, BAN, JAN","1. Ahn IP, et al. Plant Physiol, 2005, 138(3), 1505-1515. "
741,Oxytetracycline (Terramycin),10-C2,79-57-2,"125µl,10mMol/L",Oxytetracycline (Terramycin) was the second of the broad-spectrum tetracycline group of antibiotics to be discovered.,C22H24N2O9,460.44,"USP, INN, BAN, JAN","1. Babu E, et al. Jpn J Pharmacol. 2002 Jan;88(1):69-76. "
742,Furaltadone HCl,10-C3,3759-92-0,"125µl,10mMol/L",Furaltadone HCl is an antibacterial and has distinct curative effect in the treatment of coccidiosis. ,C13H16N4O6·HCl,360.75,"INN, BAN","1. Zolla L, et al. Biochem Cell Biol, 2005, 83(2), 166-175."
743,Furacilin,10-C4,59-87-0,"125µl,10mMol/L",A topical anti-infective agent effective against gram-negative and gram-positive bacteria. It is used for superficial WOUNDS AND INJURIES and skin infections. Nitrofurazone has also been administered orally in the treatment of TRYPANOSOMIASIS. ,C6H6N4O4,198.14,"USP, INN, BAN","1. Imming P, et al. Nat Rev Drug Discov. 2006 Oct; 5(10):821-34. 
"
744,Ayrtol,10-C5,88-04-0,"125µl,10mMol/L","Chloroxylenol (4-chloro-3,5-dimethylphenol) is a broad spectrum antimicrobial chemical compound used to control bacteria, algae, fungi and virus. It is used in hospitals and households for disinfection and sanitation.",C8H9ClO,156.61,"USP, INN, BAN","1. Xu L, Wang J. Environ Eng Sci. 2013 Jun;30(6):294-301."
745,Dehydroacetic acid,10-C6,520-45-6,"125µl,10mMol/L","Industrially, it is also used as a plasticizer in synthetic resins. It is used to reduce pickle bloating as a preservative for squash and strawberries. Also used in antienzyme toothpastes. Clinical tests show little to no evidence regarding the ingredient's toxicity and potential for irritation.",C8H8O4,168.15,NF-XVII,"1. Ohtsuki T, et al. Food Chem. 2013 Nov 15;141(2):1322-7. "
746,Cetylpyridinium chloride monohydrate,10-C7,6004-24-6,"125µl,10mMol/L","Cetylpyridinium chloride (CPC) is a cationic quaternary ammonium compound used in some types of mouthwashes, toothpastes, lozenges, throat sprays, breath sprays, and nasal sprays. It is an antiseptic that kills bacteria and other microorganisms. It has been shown to be effective in preventing dental plaque and reducing gingivitis. It has also been used as an ingredient in certain pesticides. Cetylpyridinium chloride may cause brown stains between the teeth and on the surface of teeth.",C21H38ClN,358,"USP, INN, BAN, JAN","1. Garcia-Godoy F, et al. Am J Dent. 2014 Aug;27(4):185-90."
747,Chlorobutanol,10-C8,57-15-8,"125µl,10mMol/L","Chlorobutanol is a chemical preservative, sedative hypnotic and weak local anaesthetic similar in nature to chloral hydrate. It has antibacterial and antifungal properties. Chlorobutanol is typically used at a concentration of 0.5% where it lends long term stability to multi-ingredient formulations.",C4H7ClO.1/2H2O,186.46,"NF, INN, BAN, JAN","1. Chen SL, et al. Thromb Haemost. 1990 Nov 30;64(3):473-7."
748,Ofloxacin,10-C9,82419-36-1,"125µl,10mMol/L","A synthetic fluoroquinolone antibacterial agent that inhibits the supercoiling activity of bacterial DNA GYRASE, halting DNA REPLICATION. ",C18H20FN3O4,361.37,"USP, INN, BAN, JAN","1. Divo AA, et al. Antimicrob Agents Chemother. 1988 Aug;32(8):1182-6."
749,Stugeron,10-C10,298-57-7,"125µl,10mMol/L","Cinnarizine is a drug derivative of piperazine, and characterized as an antihistamine and a calcium channel blocker, it is also known to promote cerebral blood flow, and so is used to treat cerebral apoplexy, post-trauma cerebral symptoms, and cerebral arteriosclerosis.",C26H28N2,368.51,"USAN, INN, BAN, JAN","1. Terland O, et al. Neuropharmacology. 1999 Jun;38(6):879-82."
750,Phenylmercuric acetate,10-C11,62-38-4,"125µl,10mMol/L","A phenyl mercury compound used mainly as a fungicide. Has also been used as a herbicide, slimicide, and bacteriocide. ",C8H8HgO2,336.74,"USAN, NF","1. Xu Y, et al. J Antimicrob Chemother. 2012 Aug;67(8):1941-4. "
751,Pyrithioxin,10-D2,1098-97-1,"125µl,10mMol/L",A neurotropic agent which reduces permeability of blood-brain barrier to phosphate. It has no vitamin B6 activity. ,C16H20N2O4S2,368.47,"INN, BAN, JAN","1. Hindmarch I, et al. Neuropsychobiology. 1990-1991;24(3):159-64."
752,Salinomycin,10-D3,53003-10-4,"125µl,10mMol/L","Salinomycin, a polyether ionophore antibiotic isolated from Streptomyces albus, has been shown to kill CSCs in different types of human cancers, most likely by interfering with ABC drug transporters, the Wnt/ß-catenin signaling pathway, and other CSC pathways",C42H70O11,751.01,"INN, BAN","1. Gupta PB, et al. Cell. 2009 Aug 21;138(4):645-59. "
753,Sulfasalazine,10-D4,599-79-1,"125µl,10mMol/L","A drug that is used in the management of inflammatory bowel diseases. Its activity is generally considered to lie in its metabolic breakdown product, 5-aminosalicylic acid (see MESALAMINE) released in the colon. (From Martindale, The Extra Pharmacopoeia, 30th ed, p907) ",C18H14N4O5S,398.39,"USP, INN, BAN","1. Weber CK, et al. Gastroenterology. 2000 Nov;119(5):1209-18. "
754,Chloquinan,10-D5,72-80-0,"125µl,10mMol/L","Local anti-infective agent used for skin, gastrointestinal, and vaginal infections with fungi, protozoa, and certain bacteria. In animals, it causes central nervous system damage and is not administered parenterally. It is also used as antiseptic, fungistat, or deodorant. ",C10H7Cl2NO,228.07,"INN, BAN","1. Corrihons I, et al. Pathol Biol (Paris), 1991, 39(2), 136-139."
755,Nalidixic acid,10-D6,389-08-2,"125µl,10mMol/L","A synthetic 1,8-naphthyridine antimicrobial agent with a limited bacteriocidal spectrum. It is an inhibitor of the A subunit of bacterial DNA GYRASE. ",C12H12N2O3,232.24,"USP, INN, BAN, JAN","1. Emmerson AM, Jones AM. J Antimicrob Chemother. 2003 May;51 Suppl 1:13-20."
756,Terpin Monohydrate,10-D7,201256,"125µl,10mMol/L","Terpin hydrate is an expectorant, commonly used to loosen mucus in patients presenting with acute or chronic bronchitis, and related conditions. It is derived from sources such as oil of turpentine, oregano, thyme and eucalyptus. Though it was quite popular in the USA since the late nineteenth century, it was banned by the U.S. Food and Drug Administration (FDA) in the 1990s due to lack of proof of efficacy. ",C10H22O3,190.29,"USP, INN",1. Bull Am Pharm Assoc. 1946 Mar-Apr;14:41.
757,Cefotaxime sodium,10-D8,64485-93-4,"125µl,10mMol/L","Cefotaxime is a third-generation cephalosporin antibiotic. Like other third-generation cephalosporins, it has broad spectrum activity against Gram positive and Gram negative bacteria. In most cases, it is considered to be equivalent to ceftriaxone in terms of safety and efficacy. Cefotaxime sodium is marketed under various trade names including Claforan (Sanofi-Aventis). ",C16H16N5NaO7S2,477.44,"USP, INN, BAN, JAN","1. Williamson R, et al. Antimicrob Agents Chemother. 1980 Oct;18(4):629-37."
758,Tetracycline HCl,10-D9,64-75-5,"125µl,10mMol/L",Tetracycline HCl is a hydrochloride salt of tetracycline that is a broad-spectrum polyketide antibiotic.,C22H24N2O8 HCl,480.9,"USP, INN, BAN, JAN","1. Buck MA, Cooperman BS. Biochemistry. 1990 Jun 5;29(22):5374-9. "
759,Sulfamerazine,10-D10,127-79-7,"125µl,10mMol/L",Sulfamerazine is a sulfonamide antibacterial.,C11H12N4O2S,264.3,"USP-XXIII, INN, BAN","1. Hong YL, et al. Antimicrob Agents Chemother. 1995, 39(8):1756-63. 
2. Friaza V, et al. Postgrad Med. 2010, 122(6):24-8. 
3. Thijssen HH. Anal Biochem. 1973, 53(2):579-85. 
4. Rajendiran N, et al. Spectrochim Acta A Mol Biomol Spectrosc, 2014, 124, 441-450.
5. De Backer P, et al. Am J Vet Res, 1982, 43(10), 1744-1751.
"
760,Metacetamol,10-D11,621-42-1,"125µl,10mMol/L",METACETAMOL is an organic compound.,C8H9NO2,151.17,"INN, BAN","1. Hart A, Orr DL. Antonie Van Leeuwenhoek. 1975;41(3):239-47."
761,TMTD,10-E2,137-26-8,"125µl,10mMol/L","Accelerants play a major role in chemistry. Most chemical reactions can be hastened with an accelerant. Accelerants alter a chemical bond, speed up a chemical process, or bring organisms back to homeostasis.",C6H12N2S4,240.43,"USAN, INN","1. Zhang L, et al. Spectrochim Acta A Mol Biomol Spectrosc. 2014 Dec 10;133:411-6. "
762,Butyl 4-aminobenzoate,10-E3,94-25-7,"125µl,10mMol/L","It is the ester of 4-aminobenzoic acid and butanol. It's of Low Solubility , and It's been reported that it's more Effective than its corresponding Ethyl Ester When applied to intact Mucous Membrane",C11H15NO2,193.24,USP,"1. Tzimopoulos D, et al. J Inorg Biochem. 2010 Apr;104(4):423-30. "
763,Sulfaquinoxaline sodium,10-E4,967-80-6,"125µl,10mMol/L","Sulfa drugs, used in the treatment of avian coccidiosis",C14H11N4NaO2S,322.32,USP,All NLM Curated PubMed Citations.
764,Trimebutine,10-E5,39133-31-8,"125µl,10mMol/L","Trimebutine is a drug with antimuscarinic and weak mu opioid agonist effects.Trimebutine is an agonist of peripheral mu, kappa and delta opiate receptors, used as spasmolytic agent for treatment of both acute and chronic abdominal pain. The major product",C22H29NO5,387.47,USP,1. Prescrire Int. 2013 Oct;22(142):241-2.
765,BenfluoreX HCl,10-E6,23642-66-2,"125µl,10mMol/L","Benfluorex is an anorectic and hypolipidemic agent that is structurally related to fenfluramine. It was patented and manufactured by a French pharmaceutical company Servier. On 18 December 2009, the European Medicines Agency (EMEA) recommended the withdrawal of all medicines containing benfluorex in the European Union, because their risks, particularly the risk of heart valve disease (fenfluramine-like cardiovascular side-effects), are greater than their benefits.",C19H21ClF3NO2,387.82,"INN, BAN","1. Lee SH, et al. ACS Chem Biol. 2013 Aug 16;8(8):1730-6. "
766,Ambroxol,10-E7,18683-91-5,"125µl,10mMol/L","Ambroxol is indicated as ""secretolytic therapy in bronchopulmonary diseases associated with abnormal mucus secretion and impaired mucus transport. It promotes mucus clearance, facilitates expectoration and eases productive cough, allowing patients to breathe freely and deeply.",C13H18Br2N2O,378.1,"INN, BAN, JAN","1. Preissner S, et al. Nucleic Acids Res. 2010, 38(Database issue):D237-43."
767,Sulfabenzamide,10-E8,127-71-9,"125µl,10mMol/L","Sulfabenzamide is an antibacterial/antimicrobial. Often used in conjunction with sulfathiazole and sulfacetamide (trade name - Sultrin) as a topical, intravaginal antibacterial preparation.",C13H12N2O3S,276.31,"USP, INN, BAN","1. Bagheri F, et al. Mol Biol Rep. 2014 Nov; 41(11):7387-94."
768,Zoxazolamine,10-E9,61-80-3,"125µl,10mMol/L","Zoxazolamine acts centrally as a muscle relaxant, but the mechanism of its action is not understood.",C7H5ClN2O,168.58,"NF-XI, INN, BAN","1. McMillen BA, et al. J Neural Transm Gen Sect, 1992, 89(1-2), 11-25."
769,Busulfan,10-E10,55-98-1,"125µl,10mMol/L","Antineoplastic bifunctional, DNA alkylating agent that causes DNA damage by cross-linking DNA and proteins. Causes double-base lesions mainly at 5'-GA-3' and, to a lesser extent, at 5'-GG-3' sequences. Forms an intrastrand cross-link at the 5'-GA-3' sequence, and to monoalkylation. Induces normal human fibroblast senescence selectively through Erk and p38 pathways",C6H14O6S2,246.3,"USP, INN, BAN, JAN","1. Meng A, et al. Cancer Res, 2003, 63(17), 5414-5419."
770,Benzocaine,10-E11,34584,"125µl,10mMol/L",A surface anesthetic that acts by preventing transmission of impulses along nerve fibers and at nerve endings.,C9H11NO2,165.19,"USP, INN, BAN","1. Ahern CA, et al. Circ Res. 2008 Jan 4;102(1):86-94."
771,Naltrexone HCl,10-F2,16676-29-2,"125µl,10mMol/L","Derivative of noroxymorphone that is the N-cyclopropylmethyl congener of NALOXONE. It is a narcotic antagonist that is effective orally, longer lasting and more potent than naloxone, and has been proposed for the treatment of heroin addiction. The FDA has approved naltrexone for the treatment of alcohol dependence.
",C20H23NO4.HCl,377.86,USP,"1. Abdelkader H, et al. Int J Pharm. 2014 Dec 30;477(1-2):631-42."
772,Sennoside A,10-F3,81-27-6,"125µl,10mMol/L","Sennoside A, a kind of irritant laxative isolated from rhei rhizome, causes purgative actions in the intestine.",C42H38O20,862.74,"USP, JAN","1. Hiraoka A, et al. Chem Pharm Bull, 1989, 37(10), 2744-2746."
773,Teicoplanin,10-F4,61036-62-2,"125µl,10mMol/L","Glycopeptide antibiotic complex from Actinoplanes teichomyceticus active against gram-positive bacteria. It consists of five major components each with a different fatty acid moiety.
",C77H77N5O31CI2R,1709.39,"USAN, INN, BAN","1. Bereczki I, et al. Bioorg Med Chem Lett. 2014 Aug 1;24(15):3251-4. "
774,Paclitaxel,10-F5,33069-62-4,"125µl,10mMol/L","Paclitaxel is a novel antineoplastic agent, which was discovered in a screen of extracts of thousands of plants and natural products for antineoplastic activity by a National Cancer Institute program. Alought it functions as a mitotic inhibitor like vinca alkaloids, paclitaxel promotes the polymerization of tubulin instead of inducing the disassembly of microtubules, which inhibits the microtubules disassembly and promotes the formation of excessively stable, dysfunctional microtubules. Paclitaxel has exhibited antitumor activity against a broad spectrum of human cancers, including ovarian, breast, head and neck, and lung cancer, in a large number of studies.",C47H51NO14,853.92,"USP, INN, BAN","1. Wang J, et al. Anticancer Drugs. 2003, 14(1), 13-19."
775,Aconitine,10-F6,302-27-2,"125µl,10mMol/L","ApplicationAconitine is a neurotoxin which activates tetrodotoxin-sensitive Na+ channels,inducing presynaptic depolarization and blocking the release of neurotransmitters. Aconitine also blocks norepinephrine reuptake.",C34H47NO11,645.74,,"1. Zhou YH, et al. Int J Med Sci. 2013 Aug 1;10(9):1242-9."
776,Anisodamine,10-F7,17659-49-3,"125µl,10mMol/L","Anisodamine, also known as 7ß-hydroxyhyoscyamine, is an anticholinergic and a1-adrenergic receptor antagonist used in the treatment of acute circulatory shock in China. It is also a naturally occurring tropane alkaloid found in some plants of the Solanaceae family.",C17H23NO4,305.38,CHINA,"1. Zhang WW, et al. Neurosci Lett. 2008 Oct 10;443(3):241-5. "
777,Dirithromycin,10-F8,62013-04-1,"125µl,10mMol/L",Dirithromycin is a macrolide glycopeptide antibiotic by binding to the 50S subunit of the 70S bacterial ribosome to inhibit the translocation of peptides.,C42H78N2O14,835.07,"USP, INN, BAN","1. Moutard I, et al. Therapie, 1999, 54(5), 607-612."
778,Isoniazid,10-F9,54-85-3,"125µl,10mMol/L","Isoniazid is a prodrug and must be activated by bacterial catalase. Specficially, activation is associated with reduction of the mycobacterial ferric KatG catalase-peroxidase by hydrazine and reaction with oxygen to form an oxyferrous enzyme complex. Once activated, isoniazid inhibits the synthesis of mycoloic acids, an essential component of the bacterial cell wall. At therapeutic levels isoniazid is bacteriocidal against actively growing intracellular and extracellular Mycobacterium tuberculosis organisms. ",C6H7N3O,137.14,"USP, INN, BAN, JAN","1. Pym AS, et al. Mol Microbiol. 2001 May;40(4):879-89. "
779,Pyridoxine,10-F10,65-23-6,"125µl,10mMol/L","Pyridoxine is the 4-methanol form of vitamin B6 and is converted to pyridoxal 5-phosphate in the body. Although pyridoxine and vitamin B6 are still frequently used as synonyms, especially by medical researchers, this practice is erroneous and sometimes misleading. ",C8H11NO3,169.18,"USP, INN, BAN, JAN","1. Adams JB, et al. J Altern Complement Med. 2006 Jan-Feb;12(1):59-63."
780,Floxuridine,10-F11,50-91-9,"125µl,10mMol/L","An antineoplastic antimetabolite that is metabolized to fluorouracil when administered by rapid injection; when administered by slow, continuous, intra-arterial infusion, it is converted to floxuridine monophosphate. It has been used to treat hepatic metastases of gastrointestinal adenocarcinomas and for palliation in malignant neoplasms of the liver and gastrointestinal tract.",C9H11FN2O5,246.19,USP,"1. Ferguson PJ, et al. Br J Pharmacol. 1999 Aug; 127(8):1777-86. "
781,Histamine,10-G2,51-45-6,"125µl,10mMol/L","An amine derived by enzymatic decarboxylation of HISTIDINE. It is a powerful stimulant of gastric secretion, a constrictor of bronchial smooth muscle, a vasodilator, and also a centrally acting neurotransmitter. ",C5H11Cl2N3,111.15,USAN,1. Hardie RC. Nature. 1989 Jun 29;339(6227):704-6.
782,Novobiocin Sodium,10-G3,1476-53-5,"125µl,10mMol/L","Novobiocin, also known as albamycin or cathomycin, is an aminocoumarin antibiotic that is produced by the actinomycete Streptomyces niveus, which has recently been identified as a subjective synonym for S. spheroides a member of the order Actinobacteria .",C31H35N2NaO11,634.61,USP,"1. Gormley NA, et al. Biochemistry. 1996 Apr 16;35(15):5083-92. "
783,Medrysone,10-G4,2668-66-8,"125µl,10mMol/L",Medrysone is a corticosteroid used in ophthalmology. ,C22H32O3,344.5,"USAN, INN","1. Southren AL, et al. Invest Ophthalmol Vis Sci. 1983 Feb;24(2):147-52."
784,D-Pantethine,10-G5,16816-67-4,"125µl,10mMol/L",D-Pantethine is the biological activity form of VB5 ,C22H42N4O8S2,554.72,JAN,"1. Shibata K, et al. J Nutr Sci Vitaminol (Tokyo). 2013;59(2):93-9."
785,Dequalinium chloride,10-G6,522-51-0,"125µl,10mMol/L","A topical bacteriostat that is available as various salts. It is used in wound dressings and mouth infections and may also have antifungal action, but may cause skin ulceration.",C30H40Cl2N4,527.59,"INN, BAN, JAN","1. Manetta A, et al. Gynecol Oncol, 1993, 50(1), 38-44."
786,Niapyrin,10-G7,2139-47-1,"125µl,10mMol/L",Nifenazone is a drug that has been used as an analgesic for a number of rheumatic conditions,C17H16N4O2,308.34,"INN, BAN","1. Bani-Yaseen AD, Al-Balawi M. Phys Chem Chem Phys. 2014 Aug 7;16(29):15519-26. "
787,Noscapine HCl,10-G8,912-60-7,"125µl,10mMol/L","A naturally occurring opium alkaloid that is a centrally acting antitussive agent.
",C22H23NO7.HCl.xH2O,449.88,"USP, INN, BAN, JAN","1. Chen X, Facchini PJ. Plant J. 2014 Jan;77(2):173-84."
788,(+)-Emetine 2HCl hydrate,10-G9,7083-71-8,"125µl,10mMol/L",Emetine is a drug used as both an anti-protozoal and to induce vomiting. It is produced from the ipecac root.,C29H40N2O4.2HCl,553.56,"USP, BAN","1. Nomura T, Kutchan TM. J Biol Chem. 2010 Mar 5;285(10):7722-38."
789,Artamine,10-G10,52-67-5,"125µl,10mMol/L","3-Mercapto-D-valine. The most characteristic degradation product of the penicillin antibiotics. It is used as an antirheumatic and as a chelating agent in Wilson's disease.
",C5H11NO2S,149.21,"USP, INN, BAN, JAN",1. Brewer GJ. Expert Opin Pharmacother. 2006 Feb;7(3):317-24.
790,"Fluorouracil (5-Fluoracil, 5-FU)",10-G11,51-21-8,"125µl,10mMol/L","A pyrimidine analog that is an antineoplastic antimetabolite. It interferes with DNA synthesis by blocking the THYMIDYLATE SYNTHETASE conversion of deoxyuridylic acid to thymidylic acid.
",C4H3FN2O2,130.08,"USP, INN, BAN, JAN","1. Longley DB, et al. Nat Rev Cancer, 2003, 3(5), 330-338."
791,Chloroambucil,10-H2,305-03-3,"125µl,10mMol/L","A nitrogen mustard alkylating agent used as antineoplastic for chronic lymphocytic leukemia, Hodgkin's disease, and others. Although it is less toxic than most other nitrogen mustards, it has been listed as a known carcinogen in the Fourth Annual Report on Carcinogens (NTP 85-002, 1985). (Merck Index, 11th ed)
",C14H19Cl2NO2,304.22,"USP, INN, BAN","1. Kashiwazaki G, et al. Bioorg Med Chem. 2010 Apr 15;18(8):2887-93. "
792,Propoxur,10-H3,114-26-1,"125µl,10mMol/L","Propoxur (Baygon) is a carbamate insecticide and was introduced in 1959. Propoxur is a non-systemic insecticide with a fast knockdown and long residual effect used against turf, forestry, and household pests and fleas. It is also used in pest control for other domestic animals, Anopheles mosquitoes, ants, gypsy moths, and other agricultural pests.",C11H15NO3,209.24,BAN,"1. Mehta KD, et al. Environ Toxicol. 2014 Jun; 29(6): 705-13. "
793,Oxacillin sodium,10-H4,1173-88-2,"125µl,10mMol/L",An antibiotic similar to FLUCLOXACILLIN used in resistant staphylococci infections.,C19H18N3NaO5S,423.43,"USP, INN, BAN, JAN","1. Woods GL, Yam P. Antimicrob Agents Chemother. 1988 Nov;32(11):1614-8."
794,7-Aminocephalosporanic acid,10-H5,957-68-6,"125µl,10mMol/L",7-Aminocephalosporanic acid is used for synthesis of cephalosporin antibiotics and intermediates.,C10H12N2O5S,272.28,USP,"1. Wang S, et al. Ind Eng Chem Res, 2005, 44 (10), 3783–3787"
795,floroxene,10-H6,104-31-4,"125µl,10mMol/L",anesthetic,C30H53NO11,603.74,"USAN, NF-XIV, INN","Crit. Rev. Toxicol. (1988), 19(2), 87-112; Anesthesiology (1953), 14, 466-72; J. Pharmacol. Exp. Ther. (1953), 108, 488-95"
796,Desipramine HCl,10-H7,58-28-6,"125µl,10mMol/L","A tricyclic dibenzazepine compound that potentiates neurotransmission. Desipramine selectively blocks reuptake of norepinephrine from the neural synapse, and also appears to impair serotonin transport. This compound also possesses minor anticholinergic activity, through its affinity to muscarinic receptors.
",C18H23ClN2,302.84,"USP, INN, BAN, JAN","1. Zavosh A, et al. Brain Res Bull. 1999 Jul 1;49(4):291-5."
797,Carbenoxolone disodium,10-H8,7421-40-1,"125µl,10mMol/L","An agent derived from licorice root. It is used for the treatment of digestive tract ulcers, especially in the stomach. Antidiuretic side effects are frequent, but otherwise the drug is low in toxicity.
",C34H48Na2O7,614.72,"USAN, INN, BAN, JAN","1. Hausmann W, Tárnoky AL. Br J Pharmacol Chemother. 1966 Feb;26(2):412-20."
798,Methoxamine HCl,10-H9,61-16-5,"125µl,10mMol/L","An alpha-1 adrenergic agonist that causes prolonged peripheral VASOCONSTRICTION.
",C11H17NO3·HCl,247.72,"USP-XXII, INN, BAN, JAN","1. Satoh M, et al. Eur J Pharmacol. 1994 Nov 24;265(3):133-9."
799,Ketotifen fumarate,10-H10,34580-14-8,"125µl,10mMol/L","A cycloheptathiophene blocker of histamine H1 receptors and release of inflammatory mediators. It has been proposed for the treatment of asthma, rhinitis, skin allergies, and anaphylaxis.
",C23H23NO5S,425.5,"USAN, INN, BAN, JAN","1. Mita H, Shida T. Arzneimittelforschung. 1995 Jan;45(1):36-40."
800,Clorpyrifos,10-H11,2921-88-2,"125µl,10mMol/L","An organothiophosphate cholinesterase inhibitor that is used as an insecticide and as an acaricide.
",C9H11Cl3NO3PS,350.59,BAN,"1. Barman DN, et al. Ecotoxicol Environ Saf. 2014 Oct;108:135-41."
801,Ethynodiol diacetate,11-A2,297-76-7,"125µl,10mMol/L",Ethynodiol diacetate is one of the first synthetic progestogens used in contraceptive pills.,C24H32O4,384.51,"USP, INN, BAN, JAN","1. Siddique YH, et al. J Environ Biol, 2007, 28(2), 279-282."
802,Fluorocytosine,11-A3,2022-85-7,"125µl,10mMol/L","Flucytosine is a Nucleoside Analog Antifungal. The chemical classification of flucytosine is Nucleoside Analog.
",C4H4FN3O,129.09,"USP, INN, BAN, JAN","1. Osterman DG, et al. Biochemistry. 1988 Jul 12;27(14):5204-10."
803,Gimeracil,11-A4,103766-25-2,"125µl,10mMol/L","Gimeracil is an inhibitor of dihydropyrimidine dehydrogenase, which inhibits the early step in homologous recombination for double strand breaks repair.",C5H4ClNO2,145.54,EMA,1. Prescrire Int. 2013 May;22(138):122.
804,Trimetazidine 2HCl,11-A5,13171-25-0,"125µl,10mMol/L","A vasodilator used in angina of effort or ischemic heart disease. 
rimetazidine is described as the first cytoprotective anti-ischemic agent developed and marketed by Laboratoires Servier (France). Trimetazidine is an anti-ischemic (anti-anginal) metabolic agent, which improves myocardial glucose utilization through inhibition of fatty acid metabolism, also known as fatty acid oxidation inhibitor. ",C14H22N2O3.2HCl,339.26,"INN, BAN, JAN","1. Kantor PF, et al. Circ Res. 2000 Mar 17;86(5):580-8."
805,Temephos,11-A6,3383-96-8,"125µl,10mMol/L","An organothiophosphate insecticide.
",C16H20O6P2S3,466.47,"USAN, INN","1. Lima JB, et al. Am J Trop Med Hyg. 2003 Mar;68(3):329-33."
806,Dicloxacillin sodium,11-A7,13412-64-1,"125µl,10mMol/L","One of the PENICILLINS which is resistant to PENICILLINASE.
",C19H17Cl2N3O5S.H2O.Na,510.32,"USAN, INN, BAN","1. Villegas-Guzman P, et al. J Environ Sci Health A Tox Hazard Subst Environ Eng. 2015;50(1):40-8. "
807,Etodolac,11-A8,41340-25-4,"125µl,10mMol/L","A nonsteroidal anti-inflammatory agent with potent analgesic and antiarthritic properties. It has been shown to be effective in the treatment of OSTEOARTHRITIS; RHEUMATOID ARTHRITIS; ankylosing SPONDYLITIS; and in the alleviation of postoperative pain (PAIN, POSTOPERATIVE).
",C17H21NO3,287.35,"USP, INN, BAN","1. Glaser K, et al. Eur J Pharmacol. 1995 Jul 25;281(1):107-11. "
808,Tylosin,11-A9,1401-69-0,"125µl,10mMol/L","Macrolide antibiotic obtained from cultures of Streptomyces fradiae. The drug is effective against many microorganisms in animals but not in humans.
",C46H77NO17,916.1,"USP, INN, BAN","1. Kolanovic BS, et al. J Immunoassay Immunochem. 2014;35(1):37-47. "
809,Benzyladenine,11-A10,1214-39-7,"125µl,10mMol/L","6-Benzylaminopurine, benzyl adenine or BAP is a first-generation synthetic cytokinin that elicits plant growth and development responses, setting blossoms and stimulating fruit richness by stimulating cell division. It is an inhibitor of respiratory kinase in plants, and increases post-harvest life of green vegetables. ",C12H11N5,225.25,USP,"1. Zhang Y, et al. Food Chem. 2015 Nov 15;187:210-7. "
810,Amoxicillin,11-A11,26787-78-0,"125µl,10mMol/L",A broad-spectrum semisynthetic antibiotic similar to AMPICILLIN except that its resistance to gastric acid permits higher serum levels with oral administration. ,C16H19N3O5S,365.4,"USP, INN, BAN, JAN","1. Yawalkar N, et al. J Invest Dermatol, 2000, 115(4), 647-652.
"
811,Propantheline bromide,11-B2,50-34-0,"125µl,10mMol/L","A muscarinic antagonist used as an antispasmodic, in rhinitis, in urinary incontinence, and in the treatment of ulcers. At high doses it has nicotinic effects resulting in neuromuscular blocking.",C23H30BrNO3,448.4,"USP, INN, BAN, JAN","1. Saitoh H, et al. J Pharmacobiodyn. 1986 Dec; 9(12):1008-14. "
